code_commune;latitude;longitude;nom_commune;code_departement;code_region;coordonnees
1001;46.1534255214;4.92611354223;Abergement-Clémenciat;1;84;Point(4.92611354223 46.1534255214)
1002;46.0091878776;5.42801696363;Abergement-de-Varey;1;84;Point(5.42801696363 46.0091878776)
1004;45.9608475114;5.3729257777;Ambérieu-en-Bugey;1;84;Point(5.3729257777 45.9608475114)
1005;45.9961799872;4.91227250796;Ambérieux-en-Dombes;1;84;Point(4.91227250796 45.9961799872)
1006;45.7494989044;5.59432017366;Ambléon;1;84;Point(5.59432017366 45.7494989044)
1007;46.0055913782;5.35760660735;Ambronay;1;84;Point(5.35760660735 46.0055913782)
1008;45.9367134524;5.3328092349;Ambutrix;1;84;Point(5.3328092349 45.9367134524)
1009;45.7873565333;5.65788307924;Andert-et-Condon;1;84;Point(5.65788307924 45.7873565333)
1010;45.9093715116;5.79516005674;Anglefort;1;84;Point(5.79516005674 45.9093715116)
1011;46.2054981558;5.65781475272;Apremont;1;84;Point(5.65781475272 46.2054981558)
1012;46.0015344029;5.51130637511;Aranc;1;84;Point(5.51130637511 46.0015344029)
1013;45.8908155275;5.49870439091;Arandas;1;84;Point(5.49870439091 45.8908155275)
1014;46.2834936005;5.69061651221;Arbent;1;84;Point(5.69061651221 46.2834936005)
1015;45.7237621545;5.65263086429;Arboys en Bugey;1;84;Point(5.65263086429 45.7237621545)
1016;46.4776762988;4.9599416863;Arbigny;1;84;Point(4.9599416863 46.4776762988)
1017;45.9337182132;5.48251100314;Argis;1;84;Point(5.48251100314 45.9337182132)
1019;45.8541838459;5.58357838695;Armix;1;84;Point(5.58357838695 45.8541838459)
1021;45.9934611;4.82199649494;Ars-sur-Formans;1;84;Point(4.82199649494 45.9934611)
1022;45.8695891748;5.69065283943;Artemare;1;84;Point(5.69065283943 45.8695891748)
1023;46.3857281418;4.88387478623;Asnières-sur-Saône;1;84;Point(4.88387478623 46.3857281418)
1024;46.2861802203;5.1795233845;Attignat;1;84;Point(5.1795233845 46.2861802203)
1025;46.3233203302;4.9528678933;Bâgé-Dommartin;1;84;Point(4.9528678933 46.3233203302)
1026;46.3077069231;4.92862084189;Bâgé-le-Châtel;1;84;Point(4.92862084189 46.3077069231)
1027;45.8311226453;5.10780019249;Balan;1;84;Point(5.10780019249 45.8311226453)
1028;46.1141214445;4.90146475101;Baneins;1;84;Point(4.90146475101 46.1141214445)
1029;46.4288360203;5.26003405676;Beaupont;1;84;Point(5.26003405676 46.4288360203)
1030;46.0008580204;4.75600664694;Beauregard;1;84;Point(4.75600664694 46.0008580204)
1031;46.2373497134;5.6360052884;Bellignat;1;84;Point(5.6360052884 46.2373497134)
1032;45.8591464826;5.13989505865;Béligneux;1;84;Point(5.13989505865 45.8591464826)
1033;46.1067901755;5.83202736464;Bellegarde-sur-Valserine;1;84;Point(5.83202736464 46.1067901755)
1034;45.7494697806;5.68412365526;Belley;1;84;Point(5.68412365526 45.7494697806)
1035;46.2530316409;5.78471723698;Belleydoux;1;84;Point(5.78471723698 46.2530316409)
1036;45.8847475883;5.65115788055;Belmont-Luthézieu;1;84;Point(5.65115788055 45.8847475883)
1037;45.8374974718;5.48285330863;Bénonces;1;84;Point(5.48285330863 45.8374974718)
1038;46.3188629218;5.28253433405;Bény;1;84;Point(5.28253433405 46.3188629218)
1039;45.8568920052;5.75220315052;Béon;1;84;Point(5.75220315052 45.8568920052)
1040;46.3674371012;5.04021655965;Béréziat;1;84;Point(5.04021655965 46.3674371012)
1041;45.9368718303;5.36667617009;Bettant;1;84;Point(5.36667617009 45.9368718303)
1042;46.2191748844;4.84642690241;Bey;1;84;Point(4.84642690241 46.2191748844)
1043;45.8390325448;4.99738002182;Beynost;1;84;Point(4.99738002182 45.8390325448)
1044;46.0791346715;5.76591818163;Billiat;1;84;Point(5.76591818163 46.0791346715)
1045;45.9533995502;5.03666479984;Birieux;1;84;Point(5.03666479984 45.9533995502)
1046;46.2266794269;4.94084673168;Biziat;1;84;Point(4.94084673168 46.2266794269)
1047;45.8469686113;5.25166055884;Blyes;1;84;Point(5.25166055884 45.8469686113)
1049;45.8446213549;5.02783224111;Boisse;1;84;Point(5.02783224111 45.8446213549)
1050;46.3727973545;4.9989764059;Boissey;1;84;Point(4.9989764059 46.3727973545)
1051;46.1960338503;5.47095075411;Bolozon;1;84;Point(5.47095075411 46.1960338503)
1052;46.0232774841;4.99252709276;Bouligneux;1;84;Point(4.99252709276 46.0232774841)
1053;46.2051520382;5.24602125501;Bourg-en-Bresse;1;84;Point(5.24602125501 46.2051520382)
1054;45.8861934456;5.14349196896;Bourg-Saint-Christophe;1;84;Point(5.14349196896 45.8861934456)
1056;46.0363677631;5.46322744717;Boyeux-Saint-Jérôme;1;84;Point(5.46322744717 46.0363677631)
1057;46.4051688134;4.9135797178;Boz;1;84;Point(4.9135797178 46.4051688134)
1058;45.6416854652;5.61653371;Brégnier-Cordon;1;84;Point(5.61653371 45.6416854652)
1059;45.9500082947;5.7371892334;Brénaz;1;84;Point(5.7371892334 45.9500082947)
1060;46.0759940484;5.61418361314;Brénod;1;84;Point(5.61418361314 46.0759940484)
1061;45.7135069062;5.68998154517;Brens;1;84;Point(5.68998154517 45.7135069062)
1062;45.869423064;5.1009428902;Bressolles;1;84;Point(5.1009428902 45.869423064)
1063;46.1686327301;5.54656422194;Brion;1;84;Point(5.54656422194 46.1686327301)
1064;45.7708330939;5.48537461884;Briord;1;84;Point(5.48537461884 45.7708330939)
1065;46.2104135162;5.14487465017;Buellas;1;84;Point(5.14487465017 46.2104135162)
1066;45.8598709332;5.54609714598;Burbanche;1;84;Point(5.54609714598 45.8598709332)
1067;46.1256533435;5.49457379202;Ceignes;1;84;Point(5.49457379202 46.1256533435)
1068;46.0720202633;5.47577586118;Cerdon;1;84;Point(5.47577586118 46.0720202633)
1069;46.1337950959;5.26239539372;Certines;1;84;Point(5.26239539372 46.1337950959)
1071;46.315689376;6.0779844362;Cessy;1;84;Point(6.0779844362 46.315689376)
